rank,rider,rider_number,team,time,bonus,penalty,stage,date,distance,origin,destination,stage_type,winner_country,general,points,mountains,young,stage_winner,time_seconds,cumtime,gc_rank,timediff
70,Alberto Bettiol,72,Ef Pro Cycling,5H 24M 58S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19498,210655,73,1406
60,Jasper Stuyven,107,Trek - Segafredo,5H 24M 58S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19498,210678,74,1406
7,Simon Geschke,113,Ccc Team,5H 4M 22S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,18262,210734,75,170
123,Michael Hundahl Valgren,195,Ntt Pro Cycling Team,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,210735,76,1816
54,Thomas De Gendt,154,Lotto Soudal,5H 21M 52S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19312,210749,77,1220
113,Dario Cataldo,92,Movistar Team,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,210882,78,1816
115,Omar Fraile,142,Astana Pro Team,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,210924,79,1816
62,Michael Schär,116,Ccc Team,5H 24M 58S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19498,211463,80,1406
64,Nans Peters,36,Ag2r La Mondiale,5H 24M 58S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19498,211605,81,1406
156,Dries Devenyns,46,Deceuninck - Quick - Step,5H 35M 59S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,20159,211616,82,2067
142,Peter Sagan,21,Bora - Hansgrohe,5H 32M 59S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19979,211991,83,1887
121,Krists Neilands,175,Israel Start-Up Nation,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,212012,84,1816
74,Jack Bauer,162,Mitchelton - Scott,5H 25M 46S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19546,212073,85,1454
141,Matteo Trentin,117,Ccc Team,5H 32M 53S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19973,212139,86,1881
82,Jens Keukeleire,75,Ef Pro Cycling,5H 28M 52S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19732,212173,87,1640
75,Vegard Stake Laengen,136,Uae Team Emirates,5H 26M 7S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19567,212294,88,1475
44,Roman Kreuziger,196,Ntt Pro Cycling Team,5H 20M 11S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19211,212338,89,1119
69,Matej Mohoric,66,Bahrain - Mclaren,5H 24M 58S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19498,212376,90,1406
114,Tom Van Asbroeck,178,Israel Start-Up Nation,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,212406,91,1816
127,Jan Hirt,114,Ccc Team,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,212422,92,1816
