Rank,Rider,Rank.1,Rider No.,Team,Times,Gap,B,P,year,edition
107,KASPER ASGREEN,107,42,DECEUNINCK - QUICK - STEP,04h 57' 35'',+ 00h 25' 01'',-,-,2020.0,107.0
108,SONNY COLBRELLI,108,64,BAHRAIN - MCLAREN,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
109,ALBERTO BETTIOL,109,72,EF PRO CYCLING,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
110,ELIA VIVIANI,110,128,COFIDIS,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
111,PETER SAGAN,111,21,BORA - HANSGROHE,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
112,EDWARD THEUNS,112,108,TREK - SEGAFREDO,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
113,TIESJ BENOOT,113,201,TEAM SUNWEB,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
114,LUKAS PÖSTLBERGER,114,27,BORA - HANSGROHE,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
115,MICHAEL GOGL,115,194,NTT PRO CYCLING TEAM,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
116,CASPER PHILLIP PEDERSEN,116,207,TEAM SUNWEB,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
117,PIERRE LUC PERICHON,117,127,COFIDIS,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
118,MARC HIRSCHI,118,204,TEAM SUNWEB,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
119,CLÉMENT RUSSO,119,87,TEAM ARKEA - SAMSIC,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
120,ROMAN KREUZIGER,120,196,NTT PRO CYCLING TEAM,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
121,KRISTS NEILANDS,121,175,ISRAEL START-UP NATION,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
122,MARCO MARCATO,122,137,UAE TEAM EMIRATES,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
123,HUGO HOFSTETTER,123,174,ISRAEL START-UP NATION,04h 59' 21'',+ 00h 26' 47'',-,-,2020.0,107.0
124,SØREN KRAGH ANDERSEN,124,205,TEAM SUNWEB,04h 59' 26'',+ 00h 26' 52'',-,-,2020.0,107.0
125,JACK BAUER,125,162,MITCHELTON - SCOTT,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
126,AMUND GRØNDAHL JANSEN,126,13,TEAM JUMBO - VISMA,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
127,CONNOR SWIFT,127,88,TEAM ARKEA - SAMSIC,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
128,STEFF CRAS,128,152,LOTTO SOUDAL,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
129,DARYL IMPEY,129,165,MITCHELTON - SCOTT,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
130,RYAN GIBBONS,130,193,NTT PRO CYCLING TEAM,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
131,DAYER QUINTANA,131,85,TEAM ARKEA - SAMSIC,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
132,BRYAN COQUARD,132,211,B&B HOTELS - VITAL CONCEPT P / B KTM,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
133,DAVID DE LA CRUZ,133,133,UAE TEAM EMIRATES,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
134,MAXIME CHEVALIER,134,213,B&B HOTELS - VITAL CONCEPT P / B KTM,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
135,KÉVIN REZA,135,217,B&B HOTELS - VITAL CONCEPT P / B KTM,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
136,NILS POLITT,136,177,ISRAEL START-UP NATION,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
137,MARCO HALLER,137,65,BAHRAIN - MCLAREN,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
138,PAVEL SIVAKOV,138,7,INEOS GRENADIERS,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
139,TONY MARTIN,139,17,TEAM JUMBO - VISMA,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
140,ANTHONY TURGIS,140,188,TOTAL DIRECT ENERGIE,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
